,F-statistic,p-value,df_denom,df_num,trial_number,lag
0,6.991696620570529,0.008189156880883708,444870.0,1,4,1
0,0.7362149996188897,0.4789237971097766,444867.0,2,4,2
0,129.22098682513843,1.1319029884912913e-83,444864.0,3,4,3
0,167.61784707191057,1.108110571559468e-143,444861.0,4,4,4
0,135.40981559101928,5.809113740373944e-144,444858.0,5,4,5
0,128.60490101785217,2.886917102893228e-163,444855.0,6,4,6
0,106.33976744594376,2.522448813300579e-156,444852.0,7,4,7
0,99.17450426736933,7.725038775002993e-166,444849.0,8,4,8
0,86.74673574104544,4.197598461967419e-162,444846.0,9,4,9
0,79.07657495862898,2.8121492554641056e-163,444843.0,10,4,10
0,71.13082588148917,1.560981351435875e-160,444840.0,11,4,11
0,67.70142455059867,5.161368863296901e-166,444837.0,12,4,12
0,61.67704515476683,8.07093455243134e-163,444834.0,13,4,13
0,58.72242941663024,2.969290667966077e-166,444831.0,14,4,14
0,53.99642404982979,9.127832311525798e-163,444828.0,15,4,15
0,51.50843396146204,6.473573187528112e-165,444825.0,16,4,16
0,47.80427782372284,1.2971850920513542e-161,444822.0,17,4,17
0,45.7659717052305,3.95509714868481e-163,444819.0,18,4,18
0,42.86461881883711,2.6321220405218616e-160,444816.0,19,4,19
0,41.15704937429408,2.483484005610874e-161,444813.0,20,4,20
0,52.14203315822789,5.188869949528312e-13,139983.0,1,8,1
0,94.72415414314642,7.755960235152196e-42,139980.0,2,8,2
0,4185.745397103935,0.0,139977.0,3,8,3
0,2484.542640505414,0.0,139974.0,4,8,4
0,2325.0823419493886,0.0,139971.0,5,8,5
0,1890.72335028444,0.0,139968.0,6,8,6
0,1706.7687933748273,0.0,139965.0,7,8,7
0,1523.653564377547,0.0,139962.0,8,8,8
0,1373.8796880444875,0.0,139959.0,9,8,9
0,1236.230437833882,0.0,139956.0,10,8,10
0,1134.9006011083868,0.0,139953.0,11,8,11
0,1045.194554098772,0.0,139950.0,12,8,12
0,978.7302874081331,0.0,139947.0,13,8,13
0,909.1642731152516,0.0,139944.0,14,8,14
0,854.6677292850856,0.0,139941.0,15,8,15
0,801.018935168089,0.0,139938.0,16,8,16
0,757.9472153626244,0.0,139935.0,17,8,17
0,716.469364419758,0.0,139932.0,18,8,18
0,681.0759172711433,0.0,139929.0,19,8,19
0,647.929956375821,0.0,139926.0,20,8,20
0,27.385167768453808,1.6681989129255802e-07,291626.0,1,10,1
0,11.381580473655212,1.140867768332208e-05,291623.0,2,10,2
0,930.0837770792413,0.0,291620.0,3,10,3
0,1441.6951220606097,0.0,291617.0,4,10,4
0,1245.0495849656108,0.0,291614.0,5,10,5
0,1099.881031301032,0.0,291611.0,6,10,6
0,885.794001581988,0.0,291608.0,7,10,7
0,769.1014665290851,0.0,291605.0,8,10,8
0,650.0877030284162,0.0,291602.0,9,10,9
0,580.9016507778833,0.0,291599.0,10,10,10
0,513.24749046047,0.0,291596.0,11,10,11
0,470.1865786965585,0.0,291593.0,12,10,12
0,428.2748810207507,0.0,291590.0,13,10,13
0,398.9456869524937,0.0,291587.0,14,10,14
0,370.7954939682511,0.0,291584.0,15,10,15
0,349.4333074104785,0.0,291581.0,16,10,16
0,329.2789873034153,0.0,291578.0,17,10,17
0,313.01297411686926,0.0,291575.0,18,10,18
0,297.8239268343423,0.0,291572.0,19,10,19
0,285.1076072137897,0.0,291569.0,20,10,20
0,1.6413461735853108,0.20014179958670286,318835.0,1,14,1
0,24.925781756273743,1.498706978259647e-11,318832.0,2,14,2
0,3095.4460703597074,0.0,318829.0,3,14,3
0,5065.483910706835,0.0,318826.0,4,14,4
0,4684.486052050707,0.0,318823.0,5,14,5
0,4893.23375879652,0.0,318820.0,6,14,6
0,4074.2418702637174,0.0,318817.0,7,14,7
0,3812.196409722779,0.0,318814.0,8,14,8
0,3147.737559193408,0.0,318811.0,9,14,9
0,2860.5876019389325,0.0,318808.0,10,14,10
0,2412.657249319813,0.0,318805.0,11,14,11
0,2191.2605273445142,0.0,318802.0,12,14,12
0,1898.7068446226926,0.0,318799.0,13,14,13
0,1737.8918112164038,0.0,318796.0,14,14,14
0,1541.9826539918668,0.0,318793.0,15,14,15
0,1431.3487955519931,0.0,318790.0,16,14,16
0,1294.6274307520655,0.0,318787.0,17,14,17
0,1209.052355291635,0.0,318784.0,18,14,18
0,1110.6064043900572,0.0,318781.0,19,14,19
0,1045.1443368760038,0.0,318778.0,20,14,20
0,32.24363152418202,1.3620486139580998e-08,185154.0,1,15,1
0,24.743273952742822,1.801227057565414e-11,185151.0,2,15,2
0,1486.6298570273107,0.0,185148.0,3,15,3
0,1960.6660149948211,0.0,185145.0,4,15,4
0,1814.1577825009979,0.0,185142.0,5,15,5
0,1902.1595567385687,0.0,185139.0,6,15,6
0,1653.0250147172405,0.0,185136.0,7,15,7
0,1615.5559502385431,0.0,185133.0,8,15,8
0,1390.1624319242728,0.0,185130.0,9,15,9
0,1327.9077223323309,0.0,185127.0,10,15,10
0,1149.9150874305778,0.0,185124.0,11,15,11
0,1086.7831902906325,0.0,185121.0,12,15,12
0,956.3558877088806,0.0,185118.0,13,15,13
0,903.8551871434058,0.0,185115.0,14,15,14
0,809.6189664336101,0.0,185112.0,15,15,15
0,767.6018698421489,0.0,185109.0,16,15,16
0,698.8195723710942,0.0,185106.0,17,15,17
0,665.1792873081946,0.0,185103.0,18,15,18
0,614.2233341339538,0.0,185100.0,19,15,19
0,586.9352335165395,0.0,185097.0,20,15,20
0,4.39715259156383,0.03600061911736836,153554.0,1,18,1
0,717.2700647863876,8.7032843228513e-311,153551.0,2,18,2
0,910.0032313847431,0.0,153548.0,3,18,3
0,2698.1969402205555,0.0,153545.0,4,18,4
0,5287.419219620995,0.0,153542.0,5,18,5
0,5868.1425935451925,0.0,153539.0,6,18,6
0,5912.572271286205,0.0,153536.0,7,18,7
0,6009.0537458022745,0.0,153533.0,8,18,8
0,5576.485096927114,0.0,153530.0,9,18,9
0,5380.356376388735,0.0,153527.0,10,18,10
0,4947.724935448908,0.0,153524.0,11,18,11
0,4659.668997716946,0.0,153521.0,12,18,12
0,4307.514682887339,0.0,153518.0,13,18,13
0,4033.533535122851,0.0,153515.0,14,18,14
0,3758.705742658609,0.0,153512.0,15,18,15
0,3522.3902042512827,0.0,153509.0,16,18,16
0,3301.78312734294,0.0,153506.0,17,18,17
0,3103.923664481736,0.0,153503.0,18,18,18
0,2925.280427839344,0.0,153500.0,19,18,19
0,2763.149077907397,0.0,153497.0,20,18,20
0,2.5712472671219953,0.10882259987258952,451477.0,1,19,1
0,0.5886096848169633,0.5550989364146941,451474.0,2,19,2
0,587.2591039030453,0.0,451471.0,3,19,3
0,745.5189676703667,0.0,451468.0,4,19,4
0,566.4080831333205,0.0,451465.0,5,19,5
0,544.1421677395699,0.0,451462.0,6,19,6
0,420.99399074664086,0.0,451459.0,7,19,7
0,390.9602852687907,0.0,451456.0,8,19,8
0,317.333924693613,0.0,451453.0,9,19,9
0,295.184091288962,0.0,451450.0,10,19,10
0,249.75680957054115,0.0,451447.0,11,19,11
0,234.1295910897682,0.0,451444.0,12,19,12
0,204.46172684481613,0.0,451441.0,13,19,13
0,193.12180873382013,0.0,451438.0,14,19,14
0,172.76430685132323,0.0,451435.0,15,19,15
0,164.0907947975882,0.0,451432.0,16,19,16
0,149.18371232874077,0.0,451429.0,17,19,17
0,142.7494646263017,0.0,451426.0,18,19,18
0,131.58461039447997,0.0,451423.0,19,19,19
0,126.15618427002025,0.0,451420.0,20,19,20
