,F-statistic,p-value,corrected p-value,df_denom,df_num,trial_number,lag,mean_p_value_for_lag
0,4.544269450956949,4.165914760505829e-10,1.6663659042023315e-09,237672.0,18,12,18,5.207393450632286e-11
0,4.242271360651487,1.469695678297381e-09,5.878782713189524e-09,237669.0,19,12,19,1.8371195978717263e-10
0,4.060453656269717,2.4554418545136265e-09,9.821767418054506e-09,237666.0,20,12,20,3.069302318142033e-10
0,0.5778519299106203,0.4471577228456549,1.7886308913826197,81715.0,1,15,1,0.2050547040517252
0,0.6422279458551999,0.5261216084526694,2.1044864338106777,81712.0,2,15,2,0.1495903483455146
0,311.9318916620105,2.1622279193414326e-201,8.64891167736573e-201,81709.0,3,15,3,3.609152398351626e-18
0,487.3388394292721,0.0,0.0,81706.0,4,15,4,3.0202093071681768e-21
0,320.19942044214184,0.0,0.0,81703.0,5,15,5,6.697927818217166e-18
0,225.11078720323385,2.8179397913448505e-286,1.1271759165379402e-285,81700.0,6,15,6,1.1848741441438623e-18
0,134.5257385962225,6.867148254048603e-198,2.7468593016194413e-197,81697.0,7,15,7,4.1304429200505823e-16
0,99.31252219092161,2.0882398787979294e-165,8.352959515191718e-165,81694.0,8,15,8,2.6467394366895815e-16
0,72.16825022577562,1.7181541418228497e-133,6.872616567291399e-133,81691.0,9,15,9,1.2699360966724981e-14
0,60.194529181984905,1.974789319581758e-122,7.899157278327032e-122,81688.0,10,15,10,1.2523779499335528e-14
0,50.81845657911391,2.047364432587407e-112,8.189457730349628e-112,81685.0,11,15,11,1.5330613138954305e-13
0,45.282572575345945,3.019621493519444e-108,1.2078485974077776e-107,81682.0,12,15,12,8.267197142547891e-14
0,41.0263504847117,2.753747005958346e-105,1.1014988023833385e-104,81679.0,13,15,13,8.169669329918086e-13
0,37.68510461908354,2.931404822265733e-103,1.1725619289062933e-102,81676.0,14,15,14,1.2746832944154479e-12
0,35.2265733138349,1.2374545015124788e-102,4.949818006049915e-102,81673.0,15,15,15,4.5765075118076765e-12
0,32.83135123486017,3.335737036306832e-101,1.3342948145227328e-100,81670.0,16,15,16,7.539898190234094e-12
0,31.179925472542905,1.951308225632821e-101,7.805232902531284e-101,81667.0,17,15,17,3.0800676160637385e-11
0,29.322036725471513,3.2845414511063846e-100,1.3138165804425538e-99,81664.0,18,15,18,5.207393450632286e-11
0,28.17971081955256,4.6181218863619084e-101,1.8472487545447634e-100,81661.0,19,15,19,1.8371195978717263e-10
0,26.94303118491412,4.74259280395953e-101,1.897037121583812e-100,81658.0,20,15,20,3.069302318142033e-10
0,0.0023037658821339455,0.961718256227006,3.846873024908024,136825.0,1,18,1,0.2050547040517252
0,265.90353075592395,5.538750268690274e-116,2.2155001074761097e-115,136822.0,2,18,2,0.1495903483455146
0,1435.1825036883167,0.0,0.0,136819.0,3,18,3,3.609152398351626e-18
0,2514.939413289842,0.0,0.0,136816.0,4,18,4,3.0202093071681768e-21
0,2941.912567616874,0.0,0.0,136813.0,5,18,5,6.697927818217166e-18
0,2605.3307858292633,0.0,0.0,136810.0,6,18,6,1.1848741441438623e-18
0,2348.489507466421,0.0,0.0,136807.0,7,18,7,4.1304429200505823e-16
0,2058.010132863149,0.0,0.0,136804.0,8,18,8,2.6467394366895815e-16
0,1807.8161680658498,0.0,0.0,136801.0,9,18,9,1.2699360966724981e-14
0,1607.3880263742872,0.0,0.0,136798.0,10,18,10,1.2523779499335528e-14
0,1429.6431659335667,0.0,0.0,136795.0,11,18,11,1.5330613138954305e-13
0,1287.685106043891,0.0,0.0,136792.0,12,18,12,8.267197142547891e-14
0,1166.481782105652,0.0,0.0,136789.0,13,18,13,8.169669329918086e-13
0,1064.3878187794282,0.0,0.0,136786.0,14,18,14,1.2746832944154479e-12
0,977.3980627248736,0.0,0.0,136783.0,15,18,15,4.5765075118076765e-12
0,901.4096681233991,0.0,0.0,136780.0,16,18,16,7.539898190234094e-12
0,837.1869675277809,0.0,0.0,136777.0,17,18,17,3.0800676160637385e-11
0,780.6823416860487,0.0,0.0,136774.0,18,18,18,5.207393450632286e-11
0,732.5437908278112,0.0,0.0,136771.0,19,18,19,1.8371195978717263e-10
0,689.9695746671975,0.0,0.0,136768.0,20,18,20,3.069302318142033e-10
